date,bp
1913q1,
1913q2,
1913q3,
1913q4,
1914q1,
1914q2,
1914q3,
1914q4,
1915q1,.0809642
1915q2,-.0408016
1915q3,-.1006684
1915q4,.0386707
1916q1,.0285928
1916q2,-.1448526
1916q3,.042777
1916q4,-.1490273
1917q1,.1237098
1917q2,.4347832
1917q3,-.2279604
1917q4,-.0303945
1918q1,.3917663
1918q2,.3037344
1918q3,.1378875
1918q4,-.0475151
1919q1,-.1552887
1919q2,-.2273537
1919q3,-.1396244
1919q4,-.2340211
1920q1,.1557556
1920q2,.0461965
1920q3,-.0157669
1920q4,.0325072
1921q1,.0951232
1921q2,-.063129
1921q3,-.2283791
1921q4,.0808512
1922q1,.0062525
1922q2,.0468171
1922q3,-.0032062
1922q4,.1505869
1923q1,-.1756197
1923q2,-.1437154
1923q3,-.0749262
1923q4,.1861114
1924q1,-.1144052
1924q2,.0874255
1924q3,-.1014657
1924q4,.0282063
1925q1,.0055693
1925q2,-.1665981
1925q3,.088985
1925q4,-.0659639
1926q1,-.0253867
1926q2,.0212655
1926q3,-.1242536
1926q4,.0830992
1927q1,-.0381985
1927q2,-.07611
1927q3,.027693
1927q4,-.1039273
1928q1,.0651555
1928q2,-.1059836
1928q3,-.0193542
1928q4,-.0242721
1929q1,-.028249
1929q2,-.0571541
1929q3,-.046155
1929q4,.0061591
1930q1,.0168583
1930q2,.027721
1930q3,-.0557573
1930q4,.0361254
1931q1,.1601904
1931q2,-.1674334
1931q3,.1722437
1931q4,-.2635035
1932q1,.1769831
1932q2,.1912246
1932q3,-.1374157
1932q4,-.0220464
1933q1,-.0177278
1933q2,.0960564
1933q3,-.2013423
1933q4,.3261337
1934q1,-.024187
1934q2,-.0106061
1934q3,-.1825747
1934q4,.037809
1935q1,.0102061
1935q2,.0900766
1935q3,.0157417
1935q4,-.0680067
1936q1,.0111906
1936q2,-.0199409
1936q3,.0362887
1936q4,-.0134762
1937q1,-.0959133
1937q2,-.0995668
1937q3,-.0273797
1937q4,-.1093548
1938q1,.0702216
1938q2,.087557
1938q3,.0990993
1938q4,-.0320981
1939q1,-.0751699
1939q2,.0111529
1939q3,.0034332
1939q4,.0474324
1940q1,-.055462
1940q2,-.0755158
1940q3,-.0420713
1940q4,.1061262
1941q1,.1039545
1941q2,-.0748303
1941q3,.0303487
1941q4,.0870737
1942q1,.0768515
1942q2,.0946241
1942q3,.1036672
1942q4,.0356934
1943q1,-.0122179
1943q2,.0117477
1943q3,.0853431
1943q4,.1117935
1944q1,.1016856
1944q2,.0242962
1944q3,.066759
1944q4,.0940948
1945q1,.0650601
1945q2,.0744418
1945q3,-.1046298
1945q4,-.2041339
1946q1,-.1947531
1946q2,.107782
1946q3,.004072
1946q4,.0425569
1947q1,-.013541
1947q2,.0147291
1947q3,-.0487812
1947q4,-.0172025
1948q1,.0204816
1948q2,.0696716
1948q3,.0014526
1948q4,.0245889
1949q1,.065255
1949q2,.0508559
1949q3,.0148276
1949q4,-.0199976
1950q1,-.0411705
1950q2,-.0207089
1950q3,-.0602536
1950q4,.0046126
1951q1,.0385688
1951q2,-.0158906
1951q3,.0162983
1951q4,-.0575917
1952q1,-.0591858
1952q2,-.0154228
1952q3,-.0256871
1952q4,.0057071
1953q1,-.0048962
1953q2,.0046371
1953q3,-.0255342
1953q4,.0122339
1954q1,-.0004605
1954q2,.0455424
1954q3,.004155
1954q4,.0233147
1955q1,.0414549
1955q2,-.0000944
1955q3,.016755
1955q4,-.0200808
1956q1,-.0061191
1956q2,.0034783
1956q3,-.0303391
1956q4,.0008192
1957q1,-.0039809
1957q2,-.0147442
1957q3,-.0068267
1957q4,.0141757
1958q1,-.0206793
1958q2,.0382249
1958q3,.0076083
1958q4,.0115631
1959q1,-.03364
1959q2,-.0036761
1959q3,.0041075
1959q4,-.0265685
1960q1,-.0327341
1960q2,-.0084849
1960q3,-.0075599
1960q4,-.0035016
1961q1,-.0021359
1961q2,-.0187248
1961q3,.0044645
1961q4,-.0035759
1962q1,.0042549
1962q2,-.0153863
1962q3,.0016258
1962q4,-.0092434
1963q1,-.017011
1963q2,-.0211012
1963q3,.0183825
1963q4,-.0235972
1964q1,-.0128208
1964q2,.0361086
1964q3,.0043652
1964q4,.0017964
1965q1,.0228347
1965q2,.0380667
1965q3,.0440745
1965q4,.0205691
1966q1,.0102088
1966q2,-.026588
1966q3,.0164995
1966q4,.0023318
1967q1,.0138927
1967q2,-.0367861
1967q3,-.0038057
1967q4,.0012989
1968q1,.0180907
1968q2,-.0450905
1968q3,-.0193637
1968q4,-.0216682
1969q1,-.0283478
1969q2,-.0353333
1969q3,-.0314511
1969q4,-.0349388
1970q1,-.004425
1970q2,.0086554
1970q3,.0171921
1970q4,.0014155
1971q1,.0163563
1971q2,.0408516
1971q3,.0110339
1971q4,.0148516
1972q1,.0431898
1972q2,-.003252
1972q3,-.0235156
1972q4,-.0038421
1973q1,.0058871
1973q2,-.0415731
1973q3,-.0563613
1973q4,-.020292
1974q1,.0017623
1974q2,-.0434502
1974q3,-.0358123
1974q4,-.0240626
1975q1,-.0107739
1975q2,-.0140561
1975q3,-.0011788
1975q4,-.0056847
1976q1,-.0073517
1976q2,-.0166557
1976q3,-.0178133
1976q4,-.0004187
1977q1,.005436
1977q2,-.0382485
1977q3,-.0296951
1977q4,-.0354753
1978q1,-.0344671
1978q2,-.0036299
1978q3,-.0287912
1978q4,-.0458655
1979q1,-.0325792
1979q2,-.003231
1979q3,-.0137902
1979q4,-.0022653
1980q1,-.0070108
1980q2,-.0352819
1980q3,-.0292339
1980q4,.0052584
1981q1,-.0115142
1981q2,-.0528832
1981q3,-.0398261
1981q4,.0091638
1982q1,-.0239973
1982q2,.0294804
1982q3,.0011855
1982q4,.0148897
1983q1,.0328602
1983q2,.0552421
1983q3,.0330948
1983q4,-.0040158
1984q1,.044097
1984q2,.024794
1984q3,.0169499
1984q4,.0116211
1985q1,-.0034553
1985q2,.0083297
1985q3,.007022
1985q4,-.0065119
1986q1,-.0080742
1986q2,.0116872
1986q3,.0222959
1986q4,-.0070289
1987q1,.0036987
1987q2,.055555
1987q3,.0268875
1987q4,.0309849
1988q1,.031537
1988q2,.0593101
1988q3,.0350254
1988q4,.0504795
1989q1,.0234789
1989q2,.0280162
1989q3,.0198644
1989q4,.0202752
1990q1,.0193757
1990q2,.0021545
1990q3,.0035771
1990q4,.0197491
1991q1,.017304
1991q2,.011909
1991q3,.0024056
1991q4,.0017706
1992q1,.0244087
1992q2,.0187695
1992q3,.0130005
1992q4,.00039
1993q1,.0026149
1993q2,-.0037496
1993q3,.0079591
1993q4,.0035061
1994q1,-.0237165
1994q2,-.0168069
1994q3,.0033033
1994q4,-.0179058
1995q1,-.0090898
1995q2,-.0083116
1995q3,-.01055
1995q4,-.0101127
1996q1,-.0012882
1996q2,.0066913
1996q3,-.0018405
1996q4,-.0075061
1997q1,-.0068417
1997q2,.002782
1997q3,-.0128945
1997q4,-.0113347
1998q1,-.0222404
1998q2,.0117316
1998q3,-.0082859
1998q4,-.0061836
1999q1,-.0155768
1999q2,-.0114677
1999q3,.0044502
1999q4,.0018242
2000q1,-.0273976
2000q2,-.0127629
2000q3,-.0131726
2000q4,-.0096379
2001q1,-.00206
2001q2,.0141449
2001q3,-.0145085
2001q4,.0016033
2002q1,.0181174
2002q2,.0175138
2002q3,-.001481
2002q4,.0052851
2003q1,.0114703
2003q2,.0420814
2003q3,-.0007411
2003q4,.0076574
2004q1,.0186697
2004q2,.0115198
2004q3,.0159637
2004q4,-.0110427
2005q1,-.0102809
2005q2,-.0157525
2005q3,-.0068473
2005q4,-.0204597
2006q1,-.0095264
2006q2,-.0198865
2006q3,-.0235377
2006q4,-.0144129
2007q1,-.0175395
2007q2,-.0174389
2007q3,-.0180799
2007q4,-.0197699
2008q1,-.0169271
2008q2,-.0105733
2008q3,-.0065395
2008q4,-.0374208
2009q1,-.0309498
2009q2,.014874
2009q3,-.011267
2009q4,-.0295755
2010q1,-.0291336
2010q2,-.0118762
2010q3,-.020311
2010q4,-.0407993
2011q1,-.0524589
2011q2,-.0121973
2011q3,-.0390569
2011q4,-.0454484
2012q1,-.0410503
2012q2,-.0560266
2012q3,-.050048
2012q4,-.0627915
2013q1,-.0728245
2013q2,.0607622
2013q3,-.0418065
2013q4,-.0178053
2014q1,.0208905
2014q2,-.0317807
2014q3,-.0047812
2014q4,-.0652903
2015q1,-.1038441
2015q2,-.079637
2015q3,-.0905255
2015q4,-.1049199
