m,m_se,m_lb,m_ub,zero_line,H_horiz,rhog
.0014511,.0034406,-.0019895,.0048917,0,0,1
-.0060129,.0048797,-.0108927,-.0011332,0,1,.9
-.0040484,.0045874,-.0086358,.0005391,0,2,.81
-.0032304,.0041982,-.0074286,.0009677,0,3,.729
-.0012469,.00544,-.0066868,.0041931,0,4,.6561
-.0028798,.0049224,-.0078022,.0020426,0,5,.59049
-.0008371,.0044192,-.0052563,.0035822,0,6,.531441
-.0023009,.0051213,-.0074222,.0028204,0,7,.4782969
-.0027357,.0047713,-.007507,.0020357,0,8,.4304672
-.0024978,.0047483,-.0072461,.0022505,0,9,.3874205
-.0017604,.0043065,-.0060669,.0025461,0,10,.3486784
-.0009592,.0033446,-.0043037,.0023854,0,11,.3138106
-.0010889,.0028652,-.0039541,.0017763,0,12,.2824295
-.0014341,.0022799,-.003714,.0008458,0,13,.2541866
-.0023099,.0020425,-.0043524,-.0002675,0,14,.2287679
-.0024884,.0022581,-.0047465,-.0002303,0,15,.2058911
-.002926,.0026534,-.0055794,-.0002726,0,16,.185302
