m_P,m_se_P,m_lb_P,m_ub_P,m_R,m_se_R,m_lb_R,m_ub_R,pp_coef,pp_se,pp_df,pp_val,zero_line,H_horiz
-.0194169,.006782,-.0261988,-.0126349,-.0058584,.0053431,-.0112016,-.0005153,-8.039883,5.005433,,.1082231,0,0
-.0175298,.0070447,-.0245745,-.0104852,-.0169952,.0124663,-.0294615,-.0045289,1.106446,9.363777,,.905939,0,1
-.020977,.0088372,-.0298142,-.0121397,-.0274,.0157687,-.0431687,-.0116312,6.370952,11.64617,,.5843495,0,2
-.0245409,.0089497,-.0334906,-.0155911,-.0240334,.017567,-.0416003,-.0064664,1.721178,12.72545,,.8924104,0,3
-.0198524,.0079225,-.0277748,-.0119299,-.0102507,.019601,-.0298517,.0093502,-5.175426,13.72487,,.7061114,0,4
-.0217522,.0070996,-.0288518,-.0146525,-.0109762,.0188259,-.0298021,.0078497,-5.853294,14.22176,,.6806524,0,5
-.0113327,.0084086,-.0197414,-.0029241,-.0134869,.0167569,-.0302438,.00327,2.50161,13.33423,,.8511839,0,6
-.0107796,.0091309,-.0199104,-.0016487,-.0176242,.0167581,-.0343824,-.0008661,5.806399,12.83437,,.6509734,0,7
-.0120756,.0098399,-.0219155,-.0022357,-.0065033,.0149777,-.021481,.0084744,-2.956466,12.88307,,.8184922,0,8
-.0091016,.0118353,-.0209369,.0027336,-.0037034,.0135303,-.0172337,.0098269,-3.084645,12.89754,,.8109773,0,9
-.0004799,.0122454,-.0127253,.0117656,-.0147951,.0141173,-.0289125,-.0006778,10.27016,13.66434,,.4522895,0,10
.0008811,.0122824,-.0114012,.0131635,-.0135623,.0096446,-.0232069,-.0039177,10.24618,11.39009,,.3683493,0,11
-.0011076,.0122878,-.0133954,.0111802,-.0020427,.0096606,-.0117033,.0076179,.7622461,9.763848,,.9377738,0,12
-.0028386,.0138127,-.0166513,.0109741,-.0061044,.0097944,-.0158989,.00369,2.574729,8.902938,,.7724284,0,13
-.0020135,.013343,-.0153564,.0113295,-.0049424,.0106292,-.0155716,.0056868,2.263941,8.835895,,.7977803,0,14
.0000264,.0127793,-.0127529,.0128057,-.006252,.0113396,-.0175916,.0050876,4.484195,10.13288,,.6580992,0,15
-.0079969,.0144273,-.0224241,.0064304,-.0012921,.0114751,-.0127672,.0101829,-4.112023,12.03386,,.7325733,0,16
