m,m_se,m_lb,m_ub,zero_line,H_horiz
.1638152,.0117445,.1520708,.1755597,0,0
.2189789,.0323724,.1866065,.2513512,0,1
.2296001,.0438762,.185724,.2734763,0,2
.2439278,.0451283,.1987996,.2890561,0,3
.2105,.046581,.163919,.257081,0,4
.15991,.0546702,.1052398,.2145802,0,5
.1660276,.0600627,.105965,.2260903,0,6
.147316,.0592143,.0881017,.2065303,0,7
.0907756,.0622484,.0285272,.1530239,0,8
.0768287,.0664292,.0103994,.1432579,0,9
.0635024,.0708284,-.007326,.1343308,0,10
.0607735,.0741697,-.0133963,.1349432,0,11
.0668673,.0774512,-.0105839,.1443185,0,12
.053623,.0790764,-.0254535,.1326994,0,13
.0233447,.0790695,-.0557249,.1024142,0,14
.0188471,.0798249,-.0609778,.098672,0,15
.0104245,.0839276,-.0735031,.0943521,0,16
